Date,Open,High,Low,Close,Adj Close,Volume
2016-11-18,5.52,5.9,5.15,5.59,5.59,122600
2016-11-21,5.95,5.96,5.53,5.65,5.65,132200
2016-11-22,5.84,5.89,5.25,5.67,5.67,89900
2016-11-23,5.92,6.09,5.8,6.03,6.03,82700
2016-11-25,6.02,6.05,5.85,6.03,6.03,6700
2016-11-28,6.021,6.021,5.72,5.82,5.82,19100
2016-11-29,5.79,5.79,5.4,5.65,5.65,65600
2016-11-30,5.63,5.63,5.37,5.5,5.5,54500
2016-12-01,5.37,5.647,5.25,5.29,5.29,15100
2016-12-02,5.592,5.665,5.3,5.5,5.5,3900
2016-12-05,5.6,5.702,5.46,5.55,5.55,19000
2016-12-06,5.54,5.65,5.5,5.65,5.65,9800
2016-12-07,5.65,5.7,5.42,5.69,5.69,27500
2016-12-08,5.636,5.95,5.61,5.77,5.77,31500
2016-12-09,5.8,5.94,5.63,5.63,5.63,13400
2016-12-12,5.56,5.65,5.56,5.65,5.65,2600
2016-12-13,5.7,5.7,5.53,5.53,5.53,3000
2016-12-14,5.69,5.717,5.56,5.65,5.65,4700
2016-12-15,5.65,5.65,5.64,5.65,5.65,5400
2016-12-16,5.65,6.0,5.65,6.0,6.0,11700
2016-12-19,6.01,6.119,5.99,6.01,6.01,6900
2016-12-20,6.06,6.15,6.05,6.147,6.147,7500
2016-12-21,6.2,6.395,6.1,6.2,6.2,29900
2016-12-22,6.2,6.2,6.2,6.2,6.2,0
2016-12-23,6.216,6.27,6.216,6.235,6.235,7200
2016-12-27,6.3,6.3,6.299,6.3,6.3,1000
2016-12-28,6.15,6.23,6.15,6.23,6.23,600
2016-12-29,6.02,6.02,6.02,6.02,6.02,200
2016-12-30,6.28,6.3,6.03,6.191,6.191,2500
2017-01-03,5.94,6.02,5.94,5.979,5.979,3500
2017-01-04,6.16,6.18,6.15,6.15,6.15,500
2017-01-05,6.14,6.14,6.14,6.14,6.14,200
2017-01-06,5.98,6.05,5.719,6.05,6.05,3700
2017-01-09,6.042,6.5,6.042,6.25,6.25,7100
2017-01-10,6.14,6.14,5.992,5.992,5.992,5300
2017-01-11,6.01,6.01,5.986,5.986,5.986,1700
2017-01-12,5.9,5.9,5.47,5.88,5.88,5500
2017-01-13,5.88,5.88,5.88,5.88,5.88,0
2017-01-17,5.96,6.149,5.36,6.02,6.02,3100
2017-01-18,6.02,6.04,5.98,6.04,6.04,2000
2017-01-19,6.1,6.119,6.049,6.11,6.11,7700
2017-01-20,6.25,6.41,6.23,6.27,6.27,31000
2017-01-23,6.45,6.65,6.39,6.57,6.57,4400
2017-01-24,6.57,6.62,6.5,6.57,6.57,5200
2017-01-25,6.6,6.65,6.57,6.65,6.65,9700
2017-01-26,6.621,6.621,6.621,6.621,6.621,700
2017-01-27,6.621,6.621,6.621,6.621,6.621,0
2017-01-30,6.13,6.25,6.08,6.25,6.25,2600
2017-01-31,6.56,6.56,6.521,6.521,6.521,300
2017-02-01,6.57,6.69,6.54,6.67,6.67,2400
2017-02-02,6.652,6.652,6.611,6.611,6.611,1400
2017-02-03,6.62,6.62,6.62,6.62,6.62,100
2017-02-06,6.56,6.62,6.536,6.62,6.62,900
2017-02-07,6.5,6.55,6.4,6.55,6.55,6100
2017-02-08,6.34,6.532,6.34,6.532,6.532,900
2017-02-09,6.118,6.54,6.118,6.54,6.54,2500
2017-02-10,6.55,6.55,6.55,6.55,6.55,1100
2017-02-13,6.5,6.57,6.5,6.54,6.54,3500
2017-02-14,6.545,6.56,6.49,6.56,6.56,1400
2017-02-15,6.567,6.58,6.5,6.5,6.5,4600
2017-02-16,6.4,6.4,6.2,6.39,6.39,2500
2017-02-17,6.39,6.39,6.384,6.384,6.384,900
2017-02-21,6.21,6.3,6.073,6.3,6.3,1000
2017-02-22,6.35,6.35,6.28,6.3,6.3,300
2017-02-23,6.3,6.35,6.3,6.35,6.35,1200
2017-02-24,6.26,6.32,6.16,6.32,6.32,2100
2017-02-27,6.019,6.24,6.019,6.24,6.24,700
2017-02-28,6.15,6.15,6.083,6.083,6.083,700
2017-03-01,6.0,6.0,6.0,6.0,6.0,900
2017-03-02,6.0,6.0,6.0,6.0,6.0,0
2017-03-03,5.849,6.2,5.849,6.2,6.2,1100
2017-03-06,6.2,6.2,6.2,6.2,6.2,1500
2017-03-07,6.1,6.1,6.05,6.05,6.05,200
2017-03-08,6.06,6.06,5.8,5.88,5.88,10200
2017-03-09,5.88,5.88,5.88,5.88,5.88,0
2017-03-10,5.91,5.91,5.91,5.91,5.91,200
2017-03-13,5.997,6.0,5.93,5.95,5.95,2800
2017-03-14,5.95,5.95,5.95,5.95,5.95,0
2017-03-15,5.95,5.95,5.95,5.95,5.95,0
2017-03-16,5.979,5.979,5.979,5.979,5.979,200
2017-03-17,6.1,6.19,6.1,6.19,6.19,13900
2017-03-20,6.231,6.5,6.2,6.3,6.3,2700
2017-03-21,6.23,6.23,6.2,6.23,6.23,1600
2017-03-22,6.2,6.2,6.2,6.2,6.2,300
2017-03-23,6.23,6.23,6.21,6.21,6.21,400
2017-03-24,6.21,6.21,6.12,6.12,6.12,1300
2017-03-27,6.12,6.12,6.12,6.12,6.12,0
2017-03-28,6.13,6.13,6.13,6.13,6.13,200
2017-03-29,6.1,6.1,6.1,6.1,6.1,100
2017-03-30,6.07,6.09,5.88,5.98,5.98,3400
2017-03-31,6.25,6.25,6.06,6.06,6.06,900
2017-04-03,6.13,6.15,6.091,6.1,6.1,3700
2017-04-04,6.1,6.21,6.1,6.14,6.14,9900
2017-04-05,6.39,6.459,6.31,6.4,6.4,11300
2017-04-06,6.5,6.8,6.5,6.76,6.76,59800
2017-04-07,6.96,7.151,6.75,6.929,6.929,9200
2017-04-10,7.15,7.3,7.15,7.3,7.3,10300
2017-04-11,7.339,7.35,7.03,7.04,7.04,5600
2017-04-12,7.0,7.0,6.935,6.966,6.966,800
2017-04-13,7.15,7.166,7.062,7.15,7.15,3500
2017-04-17,7.15,7.18,7.124,7.18,7.18,1200
2017-04-18,8.48,8.88,8.029,8.42,8.42,38100
2017-04-19,8.5,9.19,8.42,9.18,9.18,47700
2017-04-20,10.3,10.785,10.0,10.55,10.55,33900
2017-04-21,10.55,10.55,9.9,10.28,10.28,8200
2017-04-24,11.0,11.0,10.67,10.67,10.67,7000
2017-04-25,10.7,10.85,10.584,10.67,10.67,15200
2017-04-26,10.6,10.6,10.21,10.21,10.21,7400
2017-04-27,10.5,10.5,10.462,10.462,10.462,300
2017-04-28,10.09,10.5,9.7,10.195,10.195,5200
2017-05-01,10.015,10.25,10.015,10.12,10.12,2400
2017-05-02,9.52,9.52,9.1,9.19,9.19,17100
2017-05-03,9.15,9.19,8.83,8.877,8.877,10100
2017-05-04,8.84,8.928,8.6,8.62,8.62,3300
2017-05-05,8.69,8.787,8.648,8.787,8.787,900
2017-05-08,8.81,8.85,7.7,8.38,8.38,26600
2017-05-09,7.73,8.03,7.73,8.0,8.0,2800
2017-05-10,8.17,8.17,8.0,8.1,8.1,1800
2017-05-11,7.97,8.01,7.89,8.0,8.0,3900
2017-05-12,7.63,7.75,7.22,7.74,7.74,6900
2017-05-15,7.74,7.74,7.74,7.74,7.74,0
2017-05-16,8.5,8.99,8.1,8.99,8.99,6500
2017-05-17,8.83,8.83,8.83,8.83,8.83,300
2017-05-18,8.83,8.83,8.83,8.83,8.83,0
2017-05-19,8.52,8.75,7.662,7.662,7.662,2300
2017-05-22,7.3,8.17,7.3,7.5,7.5,6600
2017-05-23,7.2,8.69,7.2,8.332,8.332,1100
2017-05-24,8.456,8.456,8.2,8.2,8.2,800
2017-05-25,8.2,8.4,8.2,8.4,8.4,700
2017-05-26,8.704,8.99,7.471,8.99,8.99,2200
2017-05-30,8.99,8.99,8.99,8.99,8.99,0
2017-05-31,8.83,9.0,8.83,9.0,9.0,3300
2017-06-01,9.0,9.0,9.0,9.0,9.0,0
2017-06-02,8.45,8.6,8.45,8.593,8.593,3800
